stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id
90006,9,Jefferson Station,CC,39.9525,-75.1580556,CC
90005,8,Suburban Station,CC,39.9538889,-75.1677778,CC
90004,7,Gray 30th Street,CC,39.9566667,-75.1816667,CC
90007,10,Temple University,,39.9813889,-75.1494444,CC
90406,6,Penn Medicine Station,,39.9480556,-75.1902778,CC
90405,5,Eastwick,,39.8927778,-75.2438889,EAST
90401,4,Airport Terminal E F,,39.8794444,-75.2397222,AIR
90402,3,Airport Terminal C D,,39.8780556,-75.24,AIR
90403,2,Airport Terminal B,,39.8772222,-75.2413889,AIR
90404,1,Airport Terminal A,,39.8761111,-75.2452778,AIR
90009,11,Wayne Junction,,40.0222222,-75.16,1N
90407,12,Fern Rock T C,,40.0405556,-75.1347222,1N
90408,13,Melrose Park,,40.0594444,-75.1291667,2N
90409,14,Elkins Park,,40.0713889,-75.1277778,2N
90410,15,Jenkintown Wyncote,,40.0927778,-75.1375,3N
90411,16,Glenside,,40.1013889,-75.1536111,3N
