stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id
90712,6,Wister,,40.0361111,-75.1611111,1N
90713,7,Germantown,,40.0375,-75.1716667,1N
90714,8,Washington Lane,,40.0508333,-75.1713889,2N
90715,9,Stenton,,40.0605556,-75.1786111,2N
90716,10,Sedgwick,,40.0627778,-75.1852778,2N
90717,11,Mount Airy,,40.0652778,-75.1908333,2N
90718,12,Wyndmoor,,40.0733333,-75.1966667,2N
90719,13,Gravers,,40.0775,-75.2016667,2N
90720,14,Chestnut Hill East,,40.0811111,-75.2072222,2N
90009,5,Wayne Junction,,40.0222222,-75.16,1N
90004,1,Gray 30th Street,,39.9566667,-75.1816667,CC
90005,2,Suburban Station,,39.9538889,-75.1677778,CC
90006,3,Jefferson Station,,39.9525,-75.1580556,CC
90007,4,Temple University,,39.9813889,-75.1494444,CC
