stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id
90531,9,Lansdale,,40.2427778,-75.285,4N
90532,7,Fortuna,,40.2594444,-75.2661111,4N
90533,6,Colmar,,40.2683333,-75.2544444,4N
90534,5,Link Belt,,40.2738889,-75.2466667,4N
90535,4,Chalfont,,40.2877778,-75.2097222,4N
90536,3,New Britain,,40.2975,-75.1797222,4N
90537,2,Delaware Valley College,,40.2972222,-75.1616667,4N
90538,1,Doylestown,,40.3063889,-75.1302778,4N
90539,8,9th Street Lansdale,,40.25,-75.2791667,4N
90530,10,Pennbrook,,40.2302778,-75.2816667,4N
90523,17,North Hills,,40.1119444,-75.1694444,3N
90524,16,Oreland,,40.1183333,-75.1838889,3N
90525,15,Fort Washington,,40.1358333,-75.2122222,3N
90526,14,Ambler,,40.1536111,-75.2247222,3N
90527,13,Penllyn,,40.17,-75.2441667,3N
90528,12,Gwynedd Valley,,40.1847222,-75.2569444,3N
90529,11,North Wales,,40.2141667,-75.2772222,4N
90407,20,Fern Rock T C,,40.0405556,-75.1347222,1N
90410,19,Jenkintown Wyncote,,40.0927778,-75.1375,3N
90411,18,Glenside,,40.1013889,-75.1536111,3N
90004,26,Gray 30th Street,,39.9566667,-75.1816667,CC
90005,25,Suburban Station,,39.9538889,-75.1677778,CC
90006,24,Jefferson Station,,39.9525,-75.1580556,CC
90007,23,Temple University,,39.9813889,-75.1494444,CC
90008,22,North Broad,,39.9922222,-75.1538889,1N
90009,21,Wayne Junction,,40.0222222,-75.16,1N
90406,27,Penn Medicine Station,,39.9480556,-75.1902778,CC
,,,,,,
,,,,,,
