stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id
90406,1,Penn Medicine Station,,39.9480556,-75.1902778,CC
90004,2,Gray 30th Street,,39.9566667,-75.1816667,CC
90005,3,Suburban Station,,39.9538889,-75.1677778,CC
90006,4,Jefferson Station,,39.9525,-75.1580556,CC
90007,5,Temple University,,39.9813889,-75.1494444,CC
90008,6,North Broad,,39.9922222,-75.1538889,1N
90218,7,Allegheny,,40.0036111,-75.1647222,1N
90219,8,East Falls,,40.0113889,-75.1919444,1N
90220,9,Wissahickon,,40.0166667,-75.2102778,2N
90221,10,Manayunk,,40.0269444,-75.225,2N
90222,11,Ivy Ridge,,40.0341667,-75.2355556,2N
90223,12,Miquon,,40.0586111,-75.2663889,2N
90224,13,Spring Mill,,40.0741667,-75.2861111,3N
90225,14,Conshohocken,,40.0722222,-75.3086111,3N
90226,15,Norristown T.C.,,40.1127778,-75.3441667,3N
90227,16,Main Street,,40.1172222,-75.3486111,3N
90228,17,Norristown - Elm Street,,40.1208333,-75.345,3N
