stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id
90004,4,Gray 30th Street,,39.9566667,-75.1816667,CC
90005,3,Suburban Station,,39.9538889,-75.1677778,CC
90006,2,Jefferson Station,,39.9525,-75.1580556,CC
90007,1,Temple University,,39.9813889,-75.1494444,CC
90406,5,Penn Medicine Station,,39.9480556,-75.1902778,CC
90300,20,Wawa,,39.9002778,-75.4516667,3S
90301,19,Elwyn,,39.9075,-75.4116667,3S
90302,18,Media,,39.9144444,-75.395,3S
90303,17,Moylan-Rose Valley,,39.9061111,-75.3886111,3S
90304,16,Wallingford,,39.9036111,-75.3719444,3S
90305,15,Swarthmore,,39.9022222,-75.3508333,3S
90306,14,Morton,,39.9077778,-75.3288889,2S
90307,13,Secane,,39.9158333,-75.3097222,2S
90308,12,Primos,,39.9216667,-75.2983333,2S
90309,11,Clifton-Aldan,,39.9266667,-75.2902778,2S
90310,10,Gladstone,,39.9327778,-75.2822222,2S
90311,9,Lansdowne,,39.9375,-75.2708333,2S
90312,8,Fernwood-Yeadon,,39.9397222,-75.2558333,2S
90313,7,Angora,,39.9447222,-75.2386111,1S
90314,6,49th Street,,39.9436111,-75.2166667,1S
