stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id
90501,1,Thorndale,,39.9927778,-75.7636111,4S
90502,2,Downingtown,,40.0022222,-75.7102778,4S
90503,3,Whitford,,40.0147222,-75.6380556,4S
90504,4,Exton,,40.0191667,-75.6227778,4S
90505,5,Malvern,,40.0363889,-75.5155556,4S
90506,6,Paoli,,40.0430556,-75.4827778,4S
90507,7,Daylesford,,40.0430556,-75.4605556,3S
90508,8,Berwyn,,40.0480556,-75.4422222,3S
90509,9,Devon,,40.0472222,-75.4227778,3S
90510,10,Strafford,,40.0494444,-75.4030556,3S
90511,11,Wayne,,40.0458333,-75.3866667,3S
90512,12,St. Davids,,40.0438889,-75.3725,3S
90513,13,Radnor,,40.0447222,-75.3588889,3S
90514,14,Villanova,,40.0383333,-75.3416667,3S
90515,15,Rosemont,,40.0277778,-75.3266667,3S
90516,16,Bryn Mawr,,40.0219444,-75.3163889,3S
90517,17,Haverford,,40.0138889,-75.2997222,2S
90518,18,Ardmore,,40.0083333,-75.2902778,2S
90519,19,Wynnewood,,40.0027778,-75.2725,2S
90520,20,Narberth,,40.0047222,-75.2613889,2S
90521,21,Merion,,39.9986111,-75.2513889,2S
90522,22,Overbrook,,39.9894444,-75.2494444,2S
90004,23,Gray 30th Street,,39.9566667,-75.1816667,CC
90005,24,Suburban Station,,39.9538889,-75.1677778,CC
90006,25,Jefferson Station,,39.9525,-75.1580556,CC
90007,26,Temple University,,39.9813889,-75.1494444,CC
