stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id
90701,1,Trenton,,40.2177778,-74.755,NJS
90702,2,Levittown,,40.1402778,-74.8169444,4S
90703,3,Bristol,,40.1047222,-74.8547222,4S
90704,4,Croydon,,40.0936111,-74.9066667,3S
90705,5,Eddington,,40.0830556,-74.9336111,3S
90706,6,Cornwells Heights,,40.0716667,-74.9522222,3S
90707,7,Torresdale,,40.0544444,-74.9844444,3S
90708,8,Holmesburg Jct,,40.0327778,-75.0236111,2S
90709,9,Tacony,,40.0233333,-75.0388889,2S
90710,10,Bridesburg,,40.0105556,-75.0697222,2S
90711,11,North Philadelphia Amtrak,,39.9972222,-75.155,1S
90004,12,Gray 30th Street,,39.9566667,-75.1816667,CC
90005,13,Suburban Station,,39.9538889,-75.1677778,CC
90006,14,Jefferson Station,,39.9525,-75.1580556,CC
90007,15,Temple University,,39.9813889,-75.1494444,CC
