stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id
90406,1,Penn Medicine Station,,39.9480556,-75.1902778,CC
90004,2,Gray 30th Street,,39.9566667,-75.1816667,CC
90005,3,Suburban Station,,39.9538889,-75.1677778,CC
90006,4,Jefferson Station,,39.9525,-75.1580556,CC
90007,5,Temple University,,39.9813889,-75.1494444,CC
90407,6,Fern Rock T C,,40.0405556,-75.1347222,1N
90408,7,Melrose Park,,40.0594444,-75.1291667,2N
90409,8,Elkins Park,,40.0713889,-75.1277778,2N
90410,9,Jenkintown Wyncote,,40.0927778,-75.1375,3N
90411,10,Glenside,,40.1013889,-75.1536111,3N
90412,11,Ardsley,,40.1141667,-75.1530556,3N
90413,12,Roslyn,,40.1208333,-75.1341667,3N
90414,13,Crestmont,,40.1333333,-75.1186111,3N
90415,14,Willow Grove,,40.1438889,-75.1141667,3N
90416,15,Hatboro,,40.1761111,-75.1025,3N
90417,16,Warminster,,40.1952778,-75.0891667,3N
