stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id
90201,1,Newark,,39.6705556,-75.7527778,4S
90202,2,Churchman's Crossing,,39.695,-75.6725,4S
90203,3,Wilmington,,39.7372222,-75.5511111,4S
90204,4,Claymont,,39.7977778,-75.4522222,4S
90205,5,Marcus Hook,,39.8216667,-75.4194444,3S
90206,6,Highland Avenue,,39.8336111,-75.3933333,3S
90207,7,Chester,,39.8497222,-75.36,3S
90208,8,Eddystone,,39.8572222,-75.3422222,3S
90209,9,Crum Lynne,,39.8719444,-75.3311111,3S
90210,10,Ridley Park,,39.8805556,-75.3222222,3S
90211,11,Prospect Park - Moore,,39.8883333,-75.3088889,2S
90212,12,Norwood,,39.8916667,-75.3016667,2S
90213,13,Glenolden,,39.8963889,-75.29,2S
90214,14,Folcroft,,39.9005556,-75.2797222,2S
90215,15,Sharon Hill,,39.9044444,-75.2708333,2S
90216,16,Curtis Park,,39.9080556,-75.265,2S
90217,17,Darby,,39.9130556,-75.2544444,2S
90406,18,Penn Medicine Station,,39.9480556,-75.1902778,CC
90004,19,Gray 30th Street,,39.9566667,-75.1816667,CC
90005,20,Suburban Station,,39.9538889,-75.1677778,CC
90006,21,Jefferson Station,,39.9525,-75.1580556,CC
90007,22,Temple University,,39.9813889,-75.1494444,CC
