stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id
90406,1,Penn Medicine Station,,39.9480556,-75.1902778,CC
90004,2,Gray 30th Street,,39.9566667,-75.1816667,CC
90005,3,Suburban Station,,39.9538889,-75.1677778,CC
90006,4,Jefferson Station,,39.9525,-75.1580556,CC
90007,5,Temple University,,39.9813889,-75.1494444,CC
90407,6,Fern Rock T C,,40.0405556,-75.1347222,1N
90408,7,Melrose Park,,40.0594444,-75.1291667,2N
90409,8,Elkins Park,,40.0713889,-75.1277778,2N
90410,9,Jenkintown Wyncote,,40.0927778,-75.1375,3N
90315,10,Noble,,40.1044444,-75.1241667,3N
90316,11,Rydal,,40.1075,-75.1105556,3N
90317,12,Meadowbrook,,40.1113889,-75.0925,3N
90318,13,Bethayres,,40.1166667,-75.0683333,3N
90319,14,Philmont,,40.1219444,-75.0436111,3N
90320,15,Forest Hills,,40.1277778,-75.0205556,3N
90321,16,Somerton,,40.1305556,-75.0119444,3N
90322,17,Trevose,,40.1402778,-74.9825,3N
90323,18,Neshaminy,,40.1469444,-74.9616667,3N
90324,19,Langhorne,,40.1608333,-74.9125,4N
90325,20,Woodbourne,,40.1925,-74.8891667,4N
90326,21,Yardley,,40.2352778,-74.8305556,4N
90327,22,West Trenton,,40.2577778,-74.8152778,NJN
